name,mentions,week
David Foster,0,2015-04-05
David Foster,0,2015-03-29
David Foster,0,2015-03-22
David Foster,0,2015-03-15
David Foster,0,2015-03-08
David Foster,0,2015-03-01
David Foster,0,2015-02-22
David Foster,0,2015-02-15
David Foster,0,2015-06-14
Adam Smith,1,2015-02-15
Adam Smith,0,2015-02-22
Adam Smith,0,2015-03-01
Adam Smith,0,2015-03-08
Adam Smith,0,2015-03-15
Adam Smith,2,2015-03-22
Adam Smith,0,2015-03-29
Adam Smith,0,2015-04-05
Adam Smith,1,2015-04-12
Adam Smith,1,2015-04-19
Adam Smith,1,2015-04-26
Adam Smith,1,2015-05-03
Adam Smith,0,2015-05-10
Adam Smith,0,2015-05-17
Adam Smith,0,2015-05-24
Adam Smith,2,2015-05-31
Adam Smith,0,2015-06-07
Adam Smith,0,2015-06-14
Spike Lee,1,2015-03-08
Spike Lee,0,2015-03-15
Spike Lee,0,2015-03-22
Spike Lee,0,2015-03-29
Spike Lee,2,2015-04-05
Spike Lee,1,2015-04-12
Spike Lee,0,2015-04-19
Spike Lee,0,2015-04-26
Spike Lee,1,2015-05-03
Spike Lee,0,2015-05-10
Spike Lee,4,2015-05-17
Spike Lee,1,2015-05-24
Spike Lee,2,2015-05-31
Spike Lee,3,2015-06-07
Spike Lee,0,2015-03-01
Spike Lee,0,2015-02-22
Spike Lee,0,2015-02-15
Spike Lee,0,2015-06-14
Osama bin Laden,2,2015-04-12
Osama bin Laden,1,2015-04-19
Osama bin Laden,0,2015-04-26
Osama bin Laden,1,2015-05-03
Osama bin Laden,3,2015-05-10
Osama bin Laden,3,2015-05-17
Osama bin Laden,0,2015-04-05
Osama bin Laden,0,2015-03-29
Osama bin Laden,0,2015-03-22
Osama bin Laden,0,2015-03-15
Osama bin Laden,0,2015-03-08
Osama bin Laden,0,2015-03-01
Osama bin Laden,0,2015-02-22
Osama bin Laden,0,2015-02-15
Osama bin Laden,0,2015-05-24
Osama bin Laden,0,2015-05-31
Osama bin Laden,0,2015-06-07
Osama bin Laden,0,2015-06-14
Richard Branson,1,2015-02-15
Richard Branson,0,2015-02-22
Richard Branson,0,2015-03-01
Richard Branson,1,2015-03-08
Richard Branson,0,2015-03-15
Richard Branson,0,2015-03-22
Richard Branson,0,2015-03-29
Richard Branson,2,2015-04-05
Richard Branson,0,2015-04-12
Richard Branson,0,2015-04-19
Richard Branson,0,2015-04-26
Richard Branson,1,2015-05-03
Richard Branson,1,2015-05-10
Richard Branson,0,2015-05-17
Richard Branson,1,2015-05-24
Richard Branson,2,2015-05-31
Richard Branson,0,2015-06-07
Richard Branson,0,2015-06-14
Peter Sagal,1,2015-04-26
Peter Sagal,3,2015-05-03
Peter Sagal,2,2015-05-10
Peter Sagal,1,2015-05-17
Peter Sagal,1,2015-05-24
Peter Sagal,0,2015-05-31
Peter Sagal,1,2015-06-07
Peter Sagal,0,2015-04-19
Peter Sagal,0,2015-04-12
Peter Sagal,0,2015-04-05
Peter Sagal,0,2015-03-29
Peter Sagal,0,2015-03-22
Peter Sagal,0,2015-03-15
Peter Sagal,0,2015-03-08
Peter Sagal,0,2015-03-01
Peter Sagal,0,2015-02-22
Peter Sagal,0,2015-02-15
Peter Sagal,0,2015-06-14
Robert Kraft,9,2015-05-17
Robert Kraft,1,2015-05-24
Robert Kraft,1,2015-05-31
Robert Kraft,0,2015-05-10
Robert Kraft,0,2015-05-03
Robert Kraft,0,2015-04-26
Robert Kraft,0,2015-04-19
Robert Kraft,0,2015-04-12
Robert Kraft,0,2015-04-05
Robert Kraft,0,2015-03-29
Robert Kraft,0,2015-03-22
Robert Kraft,0,2015-03-15
Robert Kraft,0,2015-03-08
Robert Kraft,0,2015-03-01
Robert Kraft,0,2015-02-22
Robert Kraft,0,2015-02-15
Robert Kraft,0,2015-06-07
Robert Kraft,0,2015-06-14
Brian Williams,2,2015-02-15
Brian Williams,4,2015-02-22
Brian Williams,1,2015-03-01
Brian Williams,0,2015-03-08
Brian Williams,0,2015-03-15
Brian Williams,0,2015-03-22
Brian Williams,1,2015-03-29
